5.936293	5.936380	0.000291	0.000463
5.936353	5.936224	0.000270	0.000276
5.936206	5.936148	0.000293	0.000349
5.936246	5.936627	0.000299	0.000309
5.936073	5.936149	0.000272	0.000336
5.936084	5.936070	0.000352	0.000164
5.935997	5.936171	0.000280	0.000197
5.936188	5.935988	0.000479	0.000167
5.935981	5.935973	0.000550	0.000325
5.935980	5.936070	0.000625	0.000269
5.936094	5.936469	0.000354	0.000306
5.935680	5.936103	0.000556	0.000272
5.936155	5.936215	0.000368	0.000254
5.935886	5.936171	0.000470	0.000188
5.935818	5.936236	0.000365	0.000208
5.936157	5.936545	0.000276	0.000302
5.936213	5.936189	0.000328	0.000156
5.936261	5.936159	0.000310	0.000150
5.935643	5.936531	0.000428	0.000135
5.936041	5.936105	0.000408	0.000265
5.936099	5.936081	0.000629	0.000186
5.936045	5.936053	0.000920	0.000214
5.936026	5.936038	0.000385	0.000205
5.936112	5.936475	0.000404	0.000195
5.936061	5.935983	0.000628	0.000185
5.936081	5.936001	0.000379	0.000210
5.936061	5.936096	0.000452	0.000252
5.936142	5.936400	0.000530	0.000208
5.936098	5.935959	0.000425	0.000185
5.936036	5.936241	0.000520	0.000114
5.935942	5.935753	0.000501	0.000310
5.935962	5.935777	0.000661	0.000299
5.935909	5.936141	0.000636	0.000084
5.935247	5.935798	0.000554	0.000206
5.935743	5.935843	0.000583	0.000175
5.935323	5.935686	0.000579	0.000220
5.935697	5.935761	0.000334	0.000124
5.935379	5.935911	0.000319	0.000138
5.935807	5.935655	0.000679	0.000183
5.935645	5.936020	0.000790	0.000219
5.935558	5.935575	0.000521	0.000077
5.935614	5.935399	0.000756	0.000073
5.935420	5.935408	0.000347	0.000235
5.935159	5.935894	0.000489	0.000319
5.935526	5.935518	0.000465	0.000177
5.935541	5.935842	0.000381	0.000113
5.935673	5.935447	0.000256	0.000138
5.935630	5.935937	0.000320	0.000264
5.935636	5.935964	0.000504	0.000150
5.935686	5.935620	0.000343	0.000120
5.935585	5.935468	0.000362	0.000283
5.935478	5.935441	0.000564	0.000251
5.935549	5.935253	0.000449	0.000202
5.935346	5.935208	0.000479	0.000132
5.935221	5.935217	0.000343	0.000137
5.934763	5.935139	0.000371	0.000164
5.935129	5.935039	0.000357	0.000142
5.934655	5.935021	0.000338	0.000116
5.935032	5.934981	0.000370	0.000128
5.934642	5.935070	0.000274	0.000240
5.935272	5.935122	0.000266	0.000161
5.935171	5.935163	0.000256	0.000152
5.935131	5.935060	0.000234	0.000248
5.935038	5.935070	0.000228	0.000159
5.935218	5.935267	0.000370	0.000105
5.935305	5.935090	0.000335	0.000077
5.935182	5.935187	0.000354	0.000167
5.934943	5.935606	0.000284	0.000203
5.935324	5.935696	0.000316	0.000232
5.935433	5.935362	0.000292	0.000108
5.935425	5.935249	0.000476	0.000178
5.935258	5.935370	0.000207	0.000216
5.935205	5.935517	0.000313	0.000173
5.935318	5.935604	0.000342	0.000116
5.935361	5.935329	0.000382	0.000159
5.935468	5.935384	0.000253	0.000154
5.935170	5.935056	0.000254	0.000198
5.935219	5.935157	0.000243	0.000120
5.935317	5.935404	0.000217	0.000144
5.935366	5.935278	0.000266	0.000264
5.935276	5.935572	0.000353	0.000194
5.935208	5.935045	0.000267	0.000086
5.934773	5.935302	0.000304	0.000070
5.934834	5.934551	0.000530	0.000115
5.934654	5.934521	0.000366	0.000203
5.934158	5.934458	0.000345	0.000212
5.934663	5.934582	0.000466	0.000208
5.934776	5.935035	0.000290	0.000180
5.934835	5.934694	0.000503	0.000203
5.934830	5.934822	0.000401	0.000320
5.934421	5.935028	0.000703	0.000251
5.934848	5.934762	0.000477	0.000189
5.934533	5.934982	0.000714	0.000305
5.934789	5.934606	0.000458	0.000296
5.934654	5.934701	0.000399	0.000222
5.934763	5.934658	0.000372	0.000348
5.934762	5.934778	0.000738	0.000299
5.934808	5.934735	0.000711	0.000268
5.934875	5.935130	0.000795	0.000240
5.934498	5.935070	0.000364	0.000313
